0.6174,0.7303,0.8433,0.8863,0.9087,0.9214,0.9303,0.9367,0.9412,0.9447,0.9474,0.9493,0.9507,0.9518,0.9526,0.9532,0.9537,0.954,0.9542,0.9543,0.9544,0.954,0.953,0.9518,0.9501,0.9486,0.9463,0.9429,0.9406,0.9379,0.9347,0.9306,0.9272,0.9222,0.9139,0.9058,0.9048,0.901,0.8977,0.8936,0.8884,0.8845,0.8827,0.8812,0.8796,0.8781,0.8765,0.8751,0.8622,0.8402,0.8705
0.5967,0.7152,0.8337,0.8785,0.9029,0.9175,0.9273,0.9341,0.9391,0.943,0.9459,0.948,0.9497,0.9509,0.9519,0.9527,0.9533,0.9537,0.954,0.9542,0.9543,0.9539,0.9526,0.9512,0.9495,0.9469,0.9449,0.9423,0.9386,0.9359,0.932,0.9271,0.9208,0.909,0.9072,0.9055,0.9014,0.8983,0.8941,0.8887,0.8855,0.884,0.8826,0.8811,0.8796,0.8781,0.8765,0.8752,0.8595,0.8339,0.8711
0.588,0.7088,0.8296,0.8767,0.9014,0.9162,0.9257,0.9328,0.938,0.9417,0.9444,0.9468,0.9486,0.95,0.9511,0.952,0.9527,0.9533,0.9537,0.9539,0.954,0.9532,0.9521,0.9506,0.9481,0.9455,0.9426,0.9401,0.9356,0.9321,0.9265,0.9179,0.9096,0.9086,0.9055,0.9023,0.8988,0.8943,0.8899,0.8869,0.8854,0.8839,0.8824,0.8808,0.8793,0.8778,0.8762,0.8749,0.8562,0.8272,0.8703
0.569,0.6949,0.8209,0.8703,0.8965,0.9123,0.923,0.9306,0.9361,0.9404,0.9436,0.9461,0.9479,0.9494,0.9506,0.9516,0.9523,0.9529,0.9533,0.9536,0.9535,0.9524,0.951,0.9491,0.947,0.944,0.9403,0.937,0.9322,0.9262,0.9147,0.911,0.9099,0.906,0.9031,0.8994,0.8943,0.891,0.8882,0.8867,0.8851,0.8836,0.8822,0.8805,0.879,0.8774,0.8757,0.8744,0.8529,0.8203,0.8694
0.5584,0.6864,0.8144,0.8646,0.8921,0.9089,0.9201,0.9282,0.934,0.9386,0.9421,0.9447,0.9467,0.9484,0.9497,0.9507,0.9516,0.9523,0.9528,0.9531,0.9528,0.9517,0.9497,0.9478,0.9452,0.9412,0.9368,0.933,0.9238,0.9144,0.9123,0.9101,0.9069,0.904,0.9,0.8951,0.8922,0.8896,0.8881,0.8864,0.8848,0.8833,0.8819,0.8801,0.8786,0.877,0.8752,0.8739,0.8495,0.8133,0.8682
0.5468,0.6781,0.8094,0.8618,0.8899,0.906,0.9172,0.9257,0.9319,0.9367,0.9405,0.9433,0.9455,0.9472,0.9487,0.9498,0.9508,0.9515,0.9522,0.9525,0.9519,0.9503,0.9486,0.9457,0.9424,0.9386,0.9342,0.9248,0.9155,0.9137,0.9106,0.9077,0.9047,0.9001,0.8962,0.8929,0.8909,0.8895,0.8875,0.8858,0.8841,0.8825,0.8809,0.8789,0.8772,0.8754,0.8735,0.872,0.8446,0.8047,0.8637
0.533,0.6673,0.8017,0.8561,0.8855,0.9027,0.9149,0.9237,0.9301,0.9352,0.9391,0.942,0.9443,0.9462,0.9477,0.949,0.95,0.9508,0.9515,0.9518,0.951,0.9489,0.9467,0.9436,0.9402,0.9348,0.9252,0.9166,0.9147,0.9115,0.9086,0.9053,0.9003,0.8974,0.8938,0.8923,0.8908,0.8894,0.8875,0.8862,0.8848,0.8834,0.8822,0.8804,0.879,0.8775,0.8758,0.8746,0.8447,0.8015,0.8707
0.5197,0.6573,0.7949,0.8498,0.8805,0.8994,0.9122,0.9214,0.928,0.9332,0.9373,0.9403,0.9426,0.9447,0.9463,0.9477,0.9489,0.9498,0.9506,0.9508,0.9495,0.9478,0.945,0.9387,0.9353,0.9249,0.9176,0.9152,0.9123,0.9094,0.9058,0.9014,0.8985,0.8951,0.8936,0.8921,0.8907,0.8893,0.887,0.8858,0.8844,0.8831,0.8818,0.88,0.8785,0.877,0.8752,0.8741,0.8412,0.7944,0.8695
0.5032,0.6443,0.7855,0.8437,0.8757,0.8954,0.9087,0.9184,0.9255,0.9311,0.9354,0.9388,0.9414,0.9434,0.9451,0.9466,0.9477,0.9487,0.9495,0.9494,0.948,0.9448,0.9418,0.9377,0.9303,0.9189,0.916,0.9132,0.9103,0.906,0.9026,0.8997,0.8965,0.895,0.8934,0.8919,0.8904,0.8889,0.8864,0.8852,0.8838,0.8825,0.8812,0.8793,0.8777,0.8761,0.8743,0.8731,0.8373,0.787,0.8674
0.4937,0.6369,0.7802,0.84,0.8727,0.8929,0.9067,0.9166,0.9237,0.9293,0.9339,0.9373,0.9401,0.9422,0.944,0.9456,0.9468,0.9479,0.9487,0.9486,0.9465,0.9436,0.9393,0.9301,0.9198,0.9169,0.914,0.9111,0.9067,0.9037,0.9006,0.8978,0.8965,0.8947,0.893,0.8914,0.8899,0.8884,0.8855,0.8844,0.8829,0.8815,0.8801,0.8781,0.8765,0.8748,0.8728,0.8716,0.8329,0.7789,0.864
0.4816,0.6275,0.7733,0.8348,0.8686,0.8895,0.9037,0.914,0.9214,0.9273,0.9318,0.9354,0.9383,0.9407,0.9427,0.9444,0.9457,0.9468,0.9477,0.947,0.945,0.9406,0.935,0.9217,0.9178,0.9149,0.9117,0.9078,0.9049,0.9012,0.8992,0.8978,0.8959,0.8942,0.8926,0.891,0.8895,0.8879,0.8848,0.8838,0.8823,0.8809,0.8795,0.8774,0.8757,0.874,0.872,0.8708,0.8292,0.7717,0.8624
0.4698,0.6182,0.7666,0.8295,0.8642,0.8852,0.9001,0.9109,0.9188,0.9252,0.93,0.9339,0.9369,0.9394,0.9415,0.9432,0.9446,0.9459,0.9467,0.9448,0.942,0.9376,0.9257,0.9186,0.9158,0.9119,0.909,0.9061,0.9021,0.9005,0.8991,0.8971,0.8953,0.8936,0.8919,0.8903,0.8888,0.8872,0.8838,0.8828,0.8813,0.8799,0.8785,0.8763,0.8745,0.8728,0.8707,0.8695,0.8249,0.7638,0.8594
0.4568,0.6067,0.7566,0.8218,0.8581,0.8808,0.8963,0.9077,0.9158,0.9222,0.9273,0.9314,0.9347,0.9374,0.9397,0.9416,0.9432,0.9445,0.9452,0.943,0.9393,0.9327,0.9195,0.9166,0.913,0.9101,0.9072,0.9034,0.902,0.9004,0.8982,0.8962,0.8944,0.8926,0.891,0.8893,0.8877,0.886,0.8823,0.8813,0.8798,0.8783,0.8768,0.8745,0.8726,0.8708,0.8686,0.8673,0.8198,0.7551,0.8546
0.445,0.5981,0.7512,0.8178,0.8547,0.8765,0.8927,0.9043,0.9131,0.9201,0.9255,0.9298,0.9331,0.9359,0.9382,0.94,0.9418,0.9432,0.9435,0.9412,0.9357,0.9225,0.9175,0.9142,0.9113,0.9083,0.9047,0.9034,0.9016,0.9,0.8977,0.896,0.8944,0.893,0.8916,0.8902,0.8888,0.8874,0.8836,0.8829,0.8816,0.8803,0.8791,0.8769,0.8753,0.8736,0.8716,0.8705,0.8204,0.7523,0.8625
0.4362,0.5897,0.7432,0.8113,0.8495,0.8736,0.8901,0.9022,0.9112,0.9182,0.9239,0.9282,0.9317,0.9346,0.9371,0.9391,0.9409,0.942,0.9416,0.9378,0.9307,0.9182,0.9153,0.9124,0.9089,0.9061,0.9048,0.9029,0.9012,0.8996,0.8968,0.8952,0.8937,0.8923,0.8909,0.8895,0.8881,0.8866,0.8826,0.882,0.8807,0.8794,0.8781,0.8759,0.8742,0.8725,0.8704,0.8693,0.8163,0.7446,0.86
0.4217,0.5791,0.7366,0.8062,0.8444,0.8693,0.8864,0.8988,0.9082,0.9157,0.9216,0.9261,0.9296,0.9324,0.935,0.9372,0.9391,0.9403,0.9394,0.9336,0.9202,0.9165,0.9136,0.9096,0.9074,0.9061,0.9042,0.9024,0.9007,0.8992,0.8961,0.8946,0.8931,0.8918,0.8905,0.8891,0.8878,0.8863,0.882,0.8815,0.8802,0.879,0.8778,0.8755,0.8738,0.8721,0.87,0.869,0.8131,0.7379,0.8594
0.4075,0.5671,0.7266,0.7983,0.8379,0.8638,0.8817,0.8948,0.9046,0.9125,0.9186,0.9235,0.9273,0.9306,0.9333,0.9356,0.9376,0.9388,0.9367,0.9288,0.9176,0.9147,0.9103,0.9089,0.9073,0.9055,0.9036,0.9018,0.9003,0.8988,0.8954,0.8939,0.8926,0.8914,0.8901,0.8887,0.8874,0.886,0.8814,0.8811,0.8798,0.8786,0.8774,0.8751,0.8734,0.8717,0.8696,0.8686,0.8099,0.7311,0.8588
0.3968,0.5573,0.7177,0.7912,0.8332,0.8595,0.878,0.8915,0.9017,0.9098,0.9162,0.9212,0.9253,0.9287,0.9315,0.9337,0.9357,0.9365,0.9334,0.9198,0.9159,0.9116,0.9104,0.9086,0.9067,0.9048,0.9029,0.9011,0.8996,0.8982,0.8943,0.893,0.8917,0.8905,0.8893,0.8879,0.8866,0.8851,0.8803,0.8801,0.8788,0.8776,0.8764,0.874,0.8723,0.8705,0.8683,0.8673,0.8057,0.7234,0.8562
0.3871,0.55,0.7129,0.7873,0.8295,0.8553,0.8741,0.888,0.8985,0.9069,0.9136,0.9188,0.923,0.9265,0.9295,0.9321,0.9342,0.9346,0.9284,0.9166,0.913,0.9117,0.9099,0.9077,0.9058,0.9039,0.9019,0.9001,0.8985,0.8971,0.8928,0.8914,0.8901,0.8889,0.8877,0.8862,0.8849,0.8833,0.8782,0.8779,0.8766,0.8753,0.8741,0.8715,0.8697,0.8679,0.8655,0.8645,0.7999,0.714,0.8501
0.376,0.5408,0.7057,0.7809,0.8229,0.8508,0.8703,0.8847,0.8951,0.9039,0.9108,0.9163,0.9207,0.9242,0.9274,0.93,0.9321,0.9306,0.9187,0.9144,0.913,0.9112,0.9088,0.9067,0.9047,0.9028,0.9007,0.8988,0.8973,0.8959,0.891,0.8897,0.8884,0.8872,0.8858,0.8844,0.8829,0.8813,0.8758,0.8756,0.8742,0.8729,0.8715,0.8689,0.867,0.865,0.8625,0.8614,0.7939,0.7044,0.8436
0.3686,0.5317,0.6948,0.7726,0.8176,0.8462,0.8664,0.8812,0.8924,0.9014,0.9085,0.9141,0.9186,0.9224,0.9257,0.9284,0.9301,0.9278,0.9158,0.9143,0.9124,0.9106,0.9082,0.9064,0.9048,0.9031,0.9012,0.8996,0.8984,0.8973,0.8924,0.8913,0.8904,0.8895,0.8885,0.8872,0.8861,0.8847,0.8792,0.8793,0.8782,0.8772,0.8761,0.8736,0.8719,0.8702,0.8679,0.8671,0.797,0.7041,0.8565
0.354,0.5213,0.6885,0.7673,0.8131,0.8424,0.8624,0.8777,0.8892,0.8985,0.9057,0.9115,0.9162,0.9201,0.9235,0.9263,0.9278,0.9224,0.9156,0.9137,0.9118,0.91,0.9074,0.9057,0.9042,0.9025,0.9006,0.8991,0.898,0.897,0.8916,0.8907,0.8898,0.889,0.888,0.8869,0.8857,0.8844,0.8786,0.8789,0.8778,0.8768,0.8757,0.8732,0.8715,0.8698,0.8675,0.8667,0.7938,0.6974,0.8559
0.3424,0.5112,0.68,0.759,0.8061,0.8365,0.8578,0.8736,0.8855,0.8952,0.9028,0.9086,0.9135,0.9176,0.921,0.924,0.9256,0.9169,0.915,0.9131,0.9113,0.9094,0.9066,0.905,0.9036,0.9019,0.9001,0.8985,0.8975,0.8966,0.8909,0.89,0.8892,0.8886,0.8876,0.8865,0.8854,0.884,0.8781,0.8784,0.8774,0.8764,0.8754,0.8728,0.8712,0.8695,0.8671,0.8664,0.7905,0.6906,0.8553
0.3347,0.503,0.6713,0.753,0.8009,0.8313,0.8532,0.869,0.8813,0.8913,0.8993,0.9054,0.9105,0.9146,0.9183,0.9214,0.9212,0.9162,0.9128,0.9094,0.9059,0.9025,0.8979,0.8948,0.8919,0.8887,0.8852,0.8822,0.8797,0.8772,0.8696,0.8673,0.865,0.8628,0.8604,0.8577,0.855,0.8521,0.8443,0.8432,0.8406,0.8381,0.8356,0.8314,0.8281,0.8249,0.8209,0.8186,0.7384,0.6333,0.7504
0.3199,0.4908,0.6617,0.745,0.7942,0.8253,0.8474,0.8643,0.8771,0.8875,0.8956,0.9021,0.9074,0.9119,0.9157,0.9187,0.9173,0.9157,0.9141,0.9125,0.9108,0.9092,0.9061,0.9049,0.9039,0.9025,0.9009,0.8997,0.899,0.8985,0.8922,0.8918,0.8914,0.8911,0.8905,0.8896,0.8888,0.8877,0.8815,0.8823,0.8815,0.8808,0.8801,0.8777,0.8762,0.8747,0.8726,0.8721,0.7908,0.684,0.8683
0.3095,0.4815,0.6535,0.7381,0.7883,0.821,0.8442,0.8614,0.8744,0.885,0.8934,0.9001,0.9055,0.9101,0.9139,0.9164,0.9161,0.9181,0.9185,0.9188,0.919,0.9193,0.918,0.9188,0.9199,0.9205,0.9208,0.9216,0.923,0.9244,0.9198,0.9214,0.923,0.9247,0.9261,0.9272,0.9284,0.9293,0.9247,0.9276,0.9288,0.9301,0.9313,0.9308,0.9313,0.9318,0.9315,0.933,0.8508,0.7424,1.002
